,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.18806,0.02494,0.14644,0.23542,1.00476
gamma,0.07737,0.02325,0.03922,0.11985,1.00421
i0,2173.32409,304.40376,1632.8443,2775.97837,1.00368
R0,2.56121,0.49466,1.76404,3.51292,1.0033
