,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.37863,0.04368,0.30561,0.46568,1.0061
gamma,0.07356,0.02238,0.03572,0.11614,1.00348
i0,146.76615,34.98354,82.78024,215.81151,1.00517
R0,5.53156,1.49449,3.03848,8.29177,1.00101
