,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.49662,0.04884,0.41273,0.59288,1.00138
γ,0.12349,0.01231,0.10025,0.14544,1.00077
ρ,0.00785,0.00245,0.00383,0.01236,1.00177
i0,7.11896,5.0212,0.63779,15.77435,1.00134
R0,3.80674,0.45273,2.99034,4.6743,1.00158
