,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.37801,0.03849,0.31087,0.44997,1.00368
γ,0.12361,0.01243,0.10027,0.14611,1.00103
ρ,0.00784,0.00234,0.00403,0.01226,1.00091
i0,55.57841,29.37847,8.2539,108.28073,1.00159
R0,2.89399,0.34465,2.30251,3.55971,1.00259
