,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.46533,0.03939,0.3921,0.53561,1.002
γ,0.12316,0.01221,0.1014,0.14679,1.00291
ρ,0.00791,0.0025,0.00361,0.01237,1.00132
i0,9.84684,5.89254,0.91114,20.47391,1.00087
R0,3.57377,0.38342,2.88822,4.29203,1.00228
