,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.32027,0.01764,0.28877,0.35355,1.00176
γ,0.12356,0.01207,0.10103,0.1462,1.00019
ρ,0.00788,0.00242,0.00366,0.01232,1.00098
i0,67.93176,27.42888,23.50094,118.36355,1.00177
R0,2.44917,0.16468,2.14369,2.7521,1.00097
