,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.27355,0.01657,0.24346,0.30573,1.00156
γ,0.12338,0.01216,0.10176,0.14737,1.00161
ρ,0.00788,0.00234,0.00398,0.01246,1.00126
i0,993.06196,322.10511,471.27724,1618.41567,1.00155
R0,2.09373,0.13471,1.8436,2.33777,1.00074
