,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.35631,0.02716,0.30583,0.40748,1.00116
γ,0.12383,0.01235,0.10133,0.1467,1.00077
ρ,0.00781,0.00236,0.0038,0.01214,1.00075
i0,141.59841,59.75585,44.89027,255.0789,1.00026
R0,2.72254,0.25002,2.26002,3.18915,1.00179
