,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.37606,0.02045,0.3347,0.41265,1.0035
γ,0.12383,0.01253,0.10031,0.14679,1.00111
ρ,0.00784,0.00239,0.00371,0.01215,1.00023
i0,26.138,11.51661,8.42225,46.57554,1.00186
R0,2.87328,0.21726,2.47757,3.2769,1.00024
