,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.31961,0.01919,0.2856,0.35837,1.00111
γ,0.12404,0.01179,0.1019,0.14611,1.00177
ρ,0.00792,0.00243,0.00383,0.01257,1.00116
i0,391.69733,142.39543,151.61195,643.65749,1.00098
R0,2.43444,0.18261,2.10989,2.7898,1.00093
