,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.16965,0.0224,0.1285,0.21473,1.21312
γ,0.12551,0.01274,0.10318,0.15072,1.0023
ρ,0.03128,0.00978,0.01508,0.04887,1.0021
i0,4328.74816,1550.79997,1865.11611,7227.61773,1.03078
R0,1.0832,0.106,0.87332,1.27761,1.43988
