,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.18087,0.03297,0.11393,0.23349,1.40139
γ,0.1263,0.01261,0.10372,0.15107,1.00672
ρ,0.01133,0.00342,0.00526,0.01739,1.00509
i0,3796.93277,1576.11808,1245.43407,6773.50058,1.12083
R0,1.31849,0.23358,0.88178,1.68835,1.43774
