,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.48701,0.05127,0.39871,0.58939,1.00216
γ,0.1245,0.01253,0.10177,0.14919,1.00009
ρ,0.01598,0.00488,0.00747,0.02452,1.00119
i0,10.18557,7.28135,0.66229,22.76703,1.00128
R0,3.48917,0.42887,2.74115,4.31917,1.00182
