,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.38895,0.06707,0.27753,0.51701,1.00843
gamma,0.08531,0.05554,0.01041,0.1885,1.00284
rho,0.04068,0.02094,0.01131,0.07777,1.00592
i0,16.62901,10.92802,1.67361,36.90967,1.01063
R0,3.55565,1.23873,1.81133,5.86643,1.0032
