,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.28359,0.0221,0.24287,0.32446,1.00227
γ,0.07125,0.00713,0.05806,0.08479,1.00054
ρ,0.03064,0.00939,0.01454,0.04823,1.00268
i0,292.44966,113.17578,113.04261,487.76087,1.00341
R0,2.80675,0.27823,2.28094,3.32107,1.00129
