,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.11625,0.03251,0.05949,0.17644,1.01215
γ,0.0783,0.02339,0.04072,0.12425,1.01172
ρ,0.0483,0.02526,0.01069,0.09572,1.00874
i0,3895.70908,2415.36646,1101.41888,8336.79175,1.01049
R0,0.91455,0.07176,0.7856,0.99731,1.01137
