,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.35415,0.11646,0.11838,0.53387,1.02107
γ,0.07133,0.00712,0.05764,0.08433,1.00164
ρ,0.03026,0.00901,0.01472,0.0466,1.00176
i0,129.77041,91.64072,0.00213,276.01932,1.04248
R0,3.51942,1.21533,1.01827,5.24789,1.01742
