,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.26365,0.03036,0.20844,0.3194,1.00076
gamma,0.08128,0.02535,0.03881,0.1286,1.0007
rho,0.03802,0.00966,0.02008,0.05637,1.0006
i0,2302.48769,1011.3214,793.88023,4092.80066,1.00055
R0,2.27124,0.31628,1.71681,2.86752,1.00063
