,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.36312,0.06987,0.24484,0.48814,1.00316
gamma,0.09289,0.06258,0.00956,0.21719,1.00062
rho,0.04465,0.0214,0.0112,0.08281,1.00315
i0,24.24606,14.73186,3.88046,50.27902,1.00636
R0,3.04219,0.99838,1.52231,4.80478,1.00498
