,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.24897,0.07973,0.13127,0.40625,1.00574
gamma,0.10832,0.07532,0.00568,0.25152,1.00605
rho,0.05357,0.02831,0.0119,0.10806,1.0053
i0,270.99526,175.29204,50.65322,567.32085,1.00428
R0,1.67666,0.35269,1.17127,2.30076,1.00293
