,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.16113,0.0987,0.04521,0.35037,1.13849
γ,0.07213,0.00701,0.05957,0.08596,1.00534
ρ,0.01104,0.00344,0.00536,0.01771,1.01452
i0,2966.24514,3577.90031,0.00025,9331.75167,1.29991
R0,1.95845,1.2352,0.52233,4.27409,1.14918
