,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.44722,0.0813,0.30968,0.60544,1.00733
gamma,0.08444,0.06255,0.00893,0.19772,1.00146
rho,0.03566,0.01788,0.01015,0.06721,1.00326
i0,9.69366,8.1221,0.76522,23.10269,1.00917
R0,4.44497,1.84867,1.7338,7.76519,1.00122
