,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.13689,0.02277,0.09723,0.18034,1.00018
γ,0.07184,0.00712,0.05844,0.08518,1.00153
ρ,0.01162,0.00355,0.00569,0.0182,1.00074
i0,3458.66688,1333.92247,1083.96518,5739.08327,1.00131
R0,1.64719,0.27361,1.14764,2.14086,1.00126
