,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.26032,0.07457,0.15116,0.39832,1.0072
gamma,0.10355,0.07082,0.01469,0.24461,1.00432
rho,0.05343,0.02944,0.0135,0.10661,1.0057
i0,200.86883,126.54352,32.32002,431.90209,1.00773
R0,1.81043,0.39715,1.1959,2.46961,1.00274
