,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.26144,0.0163,0.23114,0.29202,1.00208
γ,0.07148,0.00726,0.05807,0.08502,1.0022
ρ,0.03054,0.00949,0.01534,0.04818,1.00149
i0,361.27957,125.65206,154.95336,600.78598,1.00101
R0,2.58269,0.21225,2.18712,2.96851,1.00167
