,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.44637,0.0577,0.34087,0.55342,1.00191
γ,0.07254,0.01492,0.04697,0.10191,1.00067
ρ,0.03545,0.00693,0.02291,0.04783,1.00026
i0,4.7054,3.8952,0.23132,11.59911,1.00171
R0,4.20851,0.73889,2.96636,5.63562,1.00115
