,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.29022,0.08043,0.16574,0.43662,1.01221
gamma,0.10628,0.07699,0.00754,0.24878,1.01489
rho,0.0502,0.02787,0.01288,0.10152,1.00952
i0,115.63158,70.45721,21.20838,251.99857,1.00604
R0,2.07884,0.5498,1.26588,3.06393,1.01421
