,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.11673,0.02172,0.07873,0.15586,1.38302
γ,0.07228,0.0072,0.05945,0.08641,1.00593
ρ,0.03243,0.00997,0.01553,0.05162,1.00908
i0,4058.0265,1387.05144,1787.94645,6613.99965,1.02148
R0,1.11917,0.19291,0.81838,1.46682,1.6816
