,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.34719,0.06701,0.24637,0.46636,1.01252
gamma,0.09107,0.06323,0.01552,0.20826,1.01529
rho,0.04606,0.02239,0.01227,0.08473,1.00682
i0,30.34209,17.93849,5.93449,60.2325,1.00948
R0,2.88872,0.93118,1.4859,4.4551,1.0151
