,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.30294,0.16644,0.07461,0.61961,1.00326
γ,0.07178,0.00724,0.05892,0.08532,1.00047
ρ,0.04933,0.01536,0.02429,0.07825,1.00052
i0,8.92116,86.21956,4e-05,13.39121,1.00055
R0,2.53987,1.42441,0.62183,5.28784,1.00359
