,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.24281,0.13857,0.05404,0.47547,1.0009
γ,0.07185,0.00722,0.05802,0.08545,1.00258
ρ,0.02487,0.00761,0.01168,0.03869,1.00085
i0,5.54294,46.49164,5e-05,11.71964,1.00519
R0,2.5406,1.49125,0.48764,4.98655,1.0009
