,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.24354,0.13199,0.06444,0.48295,1.00065
γ,0.07174,0.00721,0.05819,0.0848,1.00291
ρ,0.02485,0.00753,0.0128,0.03936,1.00301
i0,8.64899,180.22639,0.00075,11.64177,1.00035
R0,2.55542,1.44371,0.53252,4.98448,1.0008
