,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.23748,0.01702,0.20615,0.26957,1.00176
γ,0.1261,0.01313,0.10285,0.15128,1.00158
ρ,0.01692,0.00526,0.00827,0.02711,1.00065
i0,302.54258,119.0742,113.50584,518.97394,1.00131
R0,1.66685,0.09208,1.50736,1.84887,1.0009
