,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.2769,0.02421,0.23034,0.3222,1.00139
γ,0.12519,0.01262,0.10229,0.14911,1.0008
ρ,0.01669,0.00509,0.00858,0.02656,1.00318
i0,548.24886,202.25331,220.73417,930.41696,1.00243
R0,1.96027,0.17146,1.65022,2.27336,1.00068
