,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.23221,0.02896,0.18288,0.2875,1.00235
gamma,0.14005,0.02796,0.09221,0.19348,1.00161
rho,0.04479,0.01,0.02683,0.06431,1.00145
i0,861.8648,29.45371,807.0,918.0,1.00554
R0,1.26786,0.11711,1.06909,1.48709,1.002
