,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.4172,0.06944,0.29971,0.5544,1.00254
γ,0.12445,0.01252,0.10229,0.14904,1.00218
ρ,0.01679,0.00521,0.00852,0.02694,1.00181
i0,30.88587,24.40927,0.42026,72.67298,1.00207
R0,2.97341,0.53178,2.04644,4.00201,1.00077
