,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.24291,0.01892,0.20752,0.27777,1.00175
γ,0.12564,0.01261,0.10316,0.14993,1.00139
ρ,0.01692,0.0053,0.00795,0.02668,1.0011
i0,1038.62953,362.39482,437.15155,1687.16503,1.00145
R0,1.71037,0.11835,1.49029,1.92631,1.00247
