,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.16573,0.037,0.10309,0.23711,1.00317
gamma,0.08105,0.03284,0.02941,0.14017,1.00278
rho,0.03404,0.00102,0.0323,0.03613,1.00215
i0,928.2155,81.09183,779.16381,1083.06959,1.00041
R0,1.47442,0.22067,1.08594,1.87345,1.00087
