,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.20723,0.01846,0.1737,0.24274,1.0014
γ,0.12568,0.01259,0.1021,0.14876,1.0018
ρ,0.01703,0.00536,0.00847,0.0272,1.00202
i0,1767.65931,600.88411,830.46944,2938.72085,1.00235
R0,1.45631,0.10038,1.27784,1.65303,1.0009
