,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.25878,0.01601,0.22901,0.28832,1.00033
γ,0.12549,0.01237,0.10392,0.15083,1.00061
ρ,0.01659,0.00502,0.00846,0.02646,1.00231
i0,205.22083,77.77245,88.83278,358.06114,1.00146
R0,1.82861,0.10232,1.6396,2.0174,0.99978
