,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.34488,0.01749,0.3135,0.37666,1.00154
γ,0.07146,0.007,0.05757,0.08401,1.00153
ρ,0.05145,0.01539,0.02621,0.07985,1.00058
i0,1953.22883,573.58023,999.876,3053.3975,1.00108
R0,2.83885,0.24674,2.3493,3.28854,1.00063
