,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.13927,0.02019,0.11158,0.17802,1.0024
gamma,0.02712,0.01892,0.00519,0.06147,1.00314
rho,0.04681,0.00951,0.02858,0.06423,1.00068
i0,6736.2274,82.94568,6574.0,6884.0,1.00801
R0,1.97513,0.43705,1.29744,2.75366,1.00164
