,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.5514,0.12229,0.34881,0.78708,1.0074
gamma,0.50976,0.12349,0.30536,0.74912,1.00727
rho,0.04462,0.00881,0.02746,0.06121,1.00741
i0,5918.1228,77.51093,5778.0,6067.0,1.00402
R0,0.99224,0.01855,0.95739,1.02346,1.00513
