,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.31196,0.17771,0.07029,0.65171,1.00217
γ,0.07243,0.0071,0.06049,0.08682,1.00064
ρ,0.04895,0.01538,0.02292,0.07675,1.0016
i0,5.41019,50.66571,0.00013,12.03047,1.00467
R0,2.6192,1.55884,0.54074,5.5464,1.00178
