,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.21938,0.03277,0.17608,0.26812,1.0037
gamma,0.03087,0.02878,0.00539,0.07068,1.00379
rho,0.04652,0.00972,0.02769,0.06395,1.00138
i0,6738.132,81.33035,6587.0,6889.0,1.00847
R0,3.05722,0.81554,1.69722,4.60473,1.00142
