,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.31492,0.03014,0.26372,0.37505,1.00186
gamma,0.13335,0.02696,0.08758,0.18519,1.00171
rho,0.04375,0.00982,0.02552,0.06266,1.00107
i0,4749.7098,69.68154,4612.0,4869.0,1.01182
R0,1.80777,0.2283,1.4266,2.24182,1.00048
