,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.40769,0.02339,0.36542,0.45256,1.00478
γ,0.12582,0.01278,0.10202,0.14883,1.00189
ρ,0.04203,0.0131,0.01931,0.06552,1.00222
i0,187.92828,70.23959,70.0283,314.34195,1.00406
R0,2.44519,0.17756,2.12493,2.78335,1.00127
