,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.11278,0.0209,0.074,0.15305,1.25019
γ,0.07308,0.00736,0.05908,0.08638,1.01009
ρ,0.05103,0.01654,0.02275,0.08268,1.03644
i0,17194.51279,5730.812,7853.14466,27771.45382,1.02462
R0,0.91115,0.12686,0.71583,1.02577,1.69477
