,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.24405,0.02837,0.19369,0.29523,1.00169
gamma,0.13714,0.0276,0.0896,0.18885,1.00072
rho,0.04479,0.00929,0.02795,0.06304,1.00189
i0,4745.4376,67.51729,4618.0,4869.0,1.00289
R0,1.3545,0.11959,1.14113,1.57647,1.00079
