,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.28706,0.03257,0.2237,0.34529,1.00341
γ,0.12447,0.0124,0.10133,0.14763,1.00328
ρ,0.03069,0.00911,0.01478,0.04705,1.00083
i0,5292.35437,2198.83043,1794.3383,9547.22214,1.00734
R0,1.85915,0.2151,1.45476,2.26151,1.00277
