,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.11595,0.01794,0.09259,0.14945,1.00782
gamma,0.02535,0.01744,0.00591,0.05787,1.00541
rho,0.04897,0.00916,0.03311,0.0678,1.00136
i0,4750.607,68.752,4620.0,4883.0,1.00814
R0,1.6208,0.3191,1.14657,2.19211,1.00167
