,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.20619,0.02689,0.16731,0.25651,1.00456
gamma,0.02929,0.02325,0.00478,0.06877,1.00506
rho,0.04658,0.00964,0.02878,0.0646,1.00277
i0,4745.967,70.14856,4616.0,4879.0,1.00628
R0,2.91118,0.78805,1.69666,4.36063,1.00414
