,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.6093,0.10628,0.40565,0.80608,1.00155
gamma,0.07412,0.02283,0.03541,0.11679,1.00058
rho,0.03479,0.00692,0.02241,0.04765,1.00044
i0,31.56927,29.03866,0.33094,82.45964,1.0011
R0,5.81103,1.46305,3.05623,8.39414,1.0012
