,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.31515,0.02819,0.26647,0.36763,1.00245
γ,0.12498,0.01253,0.10159,0.14832,1.00013
ρ,0.01669,0.00515,0.00808,0.02634,1.00342
i0,247.42631,101.56754,86.98377,442.4439,1.00508
R0,2.23599,0.21825,1.88555,2.61574,1.00063
