,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.27581,0.0271,0.22873,0.32676,1.0045
gamma,0.07674,0.02355,0.03782,0.12045,1.00496
rho,0.03955,0.01228,0.01876,0.06227,1.00448
i0,50.4546,15.65468,25.77616,81.74309,1.00418
R0,2.44467,0.33079,1.87242,3.08438,1.00475
