,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.28746,0.02539,0.24236,0.33473,1.00313
gamma,0.07624,0.02246,0.03705,0.11691,1.00105
rho,0.03899,0.01168,0.01949,0.06075,1.00256
i0,43.56241,13.29416,20.85376,67.38671,1.00258
R0,2.56583,0.34363,1.95623,3.20673,1.00198
