,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.27478,0.03643,0.20704,0.3423,1.00241
γ,0.06964,0.02086,0.03333,0.10764,1.00067
ρ,0.01299,0.00681,0.00305,0.02494,1.00278
i0,187.91412,120.63899,28.51951,404.68178,1.0041
R0,3.48321,0.74281,2.21716,4.88109,1.00191
