,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.19221,0.02875,0.15096,0.24542,1.00124
gamma,0.03018,0.02423,0.00589,0.0709,1.00157
rho,0.04623,0.01004,0.02712,0.0643,1.00131
i0,861.9982,28.64507,805.0,912.0,1.00288
R0,2.70022,0.76258,1.55211,4.0791,0.99992
