,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.18432,0.02569,0.14043,0.23413,1.00268
γ,0.07214,0.02139,0.03647,0.11192,1.00207
ρ,0.01318,0.00695,0.00323,0.02495,1.00177
i0,1555.8706,824.67274,353.8513,3017.827,1.00089
R0,2.24104,0.37004,1.63056,2.93032,1.0012
