,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.3403,0.06684,0.22578,0.46393,1.00127
γ,0.07027,0.02019,0.03609,0.10809,1.00172
ρ,0.01284,0.00638,0.00314,0.02426,1.00114
i0,55.41465,48.85235,0.30103,137.46561,1.00178
R0,4.30356,1.22884,2.41918,6.58896,1.00084
