,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.20276,0.02871,0.15194,0.25615,1.00192
gamma,0.08696,0.02697,0.04299,0.139,1.00218
rho,0.03716,0.00768,0.02459,0.05271,1.00163
i0,199.59425,57.32694,105.25916,309.63256,1.00116
R0,1.66518,0.16402,1.37943,1.97193,1.00136
