,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.30334,0.02623,0.25906,0.35329,1.00361
gamma,0.07616,0.02291,0.03777,0.11831,1.0023
rho,0.0385,0.01152,0.01998,0.06003,1.00193
i0,37.41984,11.4263,19.10673,59.86512,1.00166
R0,2.7267,0.38604,2.0484,3.43539,1.0039
