,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.27898,0.02987,0.22531,0.33442,1.00196
gamma,0.08042,0.02436,0.03797,0.12425,1.0007
rho,0.03627,0.00747,0.02314,0.04996,1.00117
i0,57.64051,19.54657,24.58095,94.84953,1.00175
R0,2.45531,0.34947,1.81041,3.10478,1.00016
