,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.11635,0.02136,0.08726,0.15011,1.00517
gamma,0.02619,0.01982,0.0051,0.05792,1.00478
rho,0.04699,0.00984,0.02759,0.06495,1.00273
i0,862.5878,28.93579,808.0,916.0,1.00218
R0,1.66476,0.38454,1.06938,2.34121,1.00116
